job_id,company,job_title,included,score,reason,matched_keywords,excluded_title_keywords,audit_category,category_evidence
337,Applied Intuition,Solution Engineer - Vehicle OS,True,11,score_at_or_above_threshold,ADAS; automotive; autonomy; infrastructure; perception; simulation; software; vehicle,,,
174,Applied Intuition,Senior Hardware Engineer - Drone Stack,True,12,score_at_or_above_threshold,automotive; autonomous; autonomy; embedded; hardware; infrastructure; robotics; software; vehicle,,,
343,Applied Intuition,Software Engineer - Defense Tooling,True,13,score_at_or_above_threshold,automotive; autonomous; autonomy; computer vision; infrastructure; path planning; robotics; simulation; software; vehicle,,,
426,Aurora,Service Engineering Technician,True,9,score_at_or_above_threshold,autonomous; fleet operations; hardware; software; technician; vehicle,,,
172,Applied Intuition,Full-Stack Software Engineer - Autonomy HMI,True,11,score_at_or_above_threshold,automotive; autonomous; autonomy; infrastructure; simulation; software,,,
74,42dot,Senior Product Manager (Pleos Connect),True,4,score_at_or_above_threshold,automotive; embedded; technical program; vehicle,,,
432,Aurora,Staff Safety Research Scientist,True,4,score_at_or_above_threshold,autonomous; hardware; robotics; software,,,
141,Applied Intuition,Senior Technical Recruiter - Physical AI,False,6,excluded_title_keyword,automotive; autonomy; embedded; infrastructure; robotics; software,recruiter,People / Talent Acquisition,recruiter
64,42dot,F&B Operations Manager,True,0,included_for_llm_review,,,,
97,42dot,"Internal Controls Manager, Accounting Team",False,4,excluded_title_keyword,controls,accounting,Finance / Accounting,internal controls
313,Applied Intuition,Software Engineer,True,7,score_at_or_above_threshold,automotive; autonomy; infrastructure; software,,,
296,Applied Intuition,Software Engineer - Perception (Fallback Stack),True,21,score_at_or_above_threshold,automotive; autonomous; autonomy; computer vision; embedded; infrastructure; lidar; localization; machine learning; perception; radar; robotics; sensor fusion; simulation; software,,,
344,Applied Intuition,Hardware Test Engineer,True,10,score_at_or_above_threshold,ADAS; automotive; autonomy; hardware; infrastructure; software; vehicle,,,
402,Aurora,Senior NPI Test Engineer,True,4,score_at_or_above_threshold,automotive; hardware; lidar; software,,,
228,Applied Intuition,Solutions Architect,True,7,score_at_or_above_threshold,ADAS; automotive; autonomy; hardware; infrastructure; software; vehicle,,,
72,42dot,Senior Product Manager (Mobility Agentic Intelligence),True,3,score_at_or_above_threshold,automotive; software; vehicle,,,
46,42dot,Senior Tech Strategist,True,3,score_at_or_above_threshold,autonomous; robotics; software,,,
105,42dot,IVI OS Engineer (Network),True,2,included_for_llm_review,automotive; vehicle,,,
152,Applied Intuition,Forward Deployed Engineer,True,7,score_at_or_above_threshold,automotive; autonomy; hardware; infrastructure; robotics; software; vehicle,,,
170,Applied Intuition,Software Engineer - Python,True,10,score_at_or_above_threshold,automotive; autonomous; autonomy; infrastructure; robotics; software; vehicle,,,
159,Applied Intuition,G&A Recruiter [6 Month Contract],False,4,excluded_title_keyword,automotive; autonomy; infrastructure; robotics,recruiter,People / Talent Acquisition,recruiter
369,Applied Intuition,"Solution Engineer, Air",True,8,score_at_or_above_threshold,automotive; autonomous; autonomy; infrastructure; perception; simulation; software; vehicle,,,
374,Applied Intuition,Technical Recruiter [6 Month Contract],False,6,excluded_title_keyword,automotive; autonomous; autonomous vehicle; autonomy; infrastructure; vehicle,recruiter,People / Talent Acquisition,recruiter
342,Applied Intuition,Data Engineer - Axion,True,11,score_at_or_above_threshold,automotive; autonomous; autonomy; data engineer; hardware; infrastructure; perception; robotics; software,,,
